word,gender,syncategory,source,code,code2,Adina's Notes
supervisor,M,noun,WinoBias (US Dept. Labor),,,
janitor,M,noun,WinoBias (US Dept. Labor),,,
cook,M,noun,WinoBias (US Dept. Labor),,,
mover,M,noun,WinoBias (US Dept. Labor),,,
laborer,M,noun,WinoBias (US Dept. Labor),,,
constructor,M,noun,WinoBias (US Dept. Labor),,,
chief,M,noun,WinoBias (US Dept. Labor),,,
developer,M,noun,WinoBias (US Dept. Labor),,,
carpeter,M,noun,WinoBias (US Dept. Labor),,,
manager,M,noun,WinoBias (US Dept. Labor),,,
lawyer,M,noun,WinoBias (US Dept. Labor),,,
farmer,M,noun,WinoBias (US Dept. Labor),,,
driver,M,noun,WinoBias (US Dept. Labor),,,
salesperson,M,noun,WinoBias (US Dept. Labor),,,
physician,M,noun,WinoBias (US Dept. Labor),,,
guard,M,noun,WinoBias (US Dept. Labor),,,
analyst,M,noun,WinoBias (US Dept. Labor),,,
mechanician,M,noun,WinoBias (US Dept. Labor),,,
sheriff,M,noun,WinoBias (US Dept. Labor),,,
CEO,M,noun,WinoBias (US Dept. Labor),,,
cashier,F,noun,WinoBias (US Dept. Labor),,,
teacher,F,noun,WinoBias (US Dept. Labor),,,
nurse,F,noun,WinoBias (US Dept. Labor),,,
assistant,F,noun,WinoBias (US Dept. Labor),,,
secretary,F,noun,WinoBias (US Dept. Labor),,,
auditor,F,noun,WinoBias (US Dept. Labor),,,
cleaner,F,noun,WinoBias (US Dept. Labor),,,
receptionist,F,noun,WinoBias (US Dept. Labor),,,
clerk,F,noun,WinoBias (US Dept. Labor),,,
counselors,F,noun,WinoBias (US Dept. Labor),,,
designer,F,noun,WinoBias (US Dept. Labor),,,
hairdressers,F,noun,WinoBias (US Dept. Labor),,,
attendant,F,noun,WinoBias (US Dept. Labor),,,
writer,F,noun,WinoBias (US Dept. Labor),,,
housekeeper,F,noun,WinoBias (US Dept. Labor),,,
baker,F,noun,WinoBias (US Dept. Labor),,,
accountant,F,noun,WinoBias (US Dept. Labor),,,
editor,F,noun,WinoBias (US Dept. Labor),,,
librarian,F,noun,WinoBias (US Dept. Labor),,,
sewer,F,noun,WinoBias (US Dept. Labor),,,what
just,M,adjective,https://arxiv.org/pdf/1906.04760.pdf,positive,,
sound,M,adjective,https://arxiv.org/pdf/1906.04760.pdf,positive,,
righteous,M,adjective,https://arxiv.org/pdf/1906.04760.pdf,positive,,
rational,M,adjective,https://arxiv.org/pdf/1906.04760.pdf,positive,,
peaceable,M,adjective,https://arxiv.org/pdf/1906.04760.pdf,positive,,
prodigious,M,adjective,https://arxiv.org/pdf/1906.04760.pdf,positive,,
brave,M,adjective,https://arxiv.org/pdf/1906.04760.pdf,positive,,
